mode,view_key,H_trained,report_step,model,use_dyn,MAE_mean,MAE_std,RMSE_mean,RMSE_std,MAPE_mean,MAPE_std,keep_mean
E_traffic_time_causal,traffic_time,36,36,CausalSTGCN,True,4.113472747802734,0.04718212650219942,6.301273250579834,0.09633092453244746,0.16484089493751525,0.0017432999459983424,100.0
E_traffic_time_causal,traffic_time,36,36,DCRNN,False,4.477880859375,0.017046306573423587,6.973159885406494,0.034374498656538716,0.18861083984375,0.0010112946382567875,100.0
E_traffic_time_causal,traffic_time,36,36,HA,False,4.366766452789307,0.0,6.768595218658447,0.0,0.18092548847198486,0.0,100.0
E_traffic_time_causal,traffic_time,36,36,LastValue,False,6.927804946899414,0.0,10.531035423278809,0.0,0.26274025440216064,0.0,100.0
F_traffic_time_query_static,traffic_time_weather_query,12,12,ARIMA,False,4.06311559677124,0.0,6.376037120819092,0.0,0.16455253958702087,0.0,100.0
F_traffic_time_query_static,traffic_time_weather_query,12,12,DCRNN,False,3.897469711303711,0.015146415532403557,6.036855697631836,0.02691920840505079,0.1601123183965683,0.0012015206479406328,100.0
F_traffic_time_query_static,traffic_time_weather_query,12,12,HA,False,4.389371395111084,0.0,6.7794318199157715,0.0,0.17981813848018646,0.0,100.0
F_traffic_time_query_static,traffic_time_weather_query,12,12,LastValue,False,4.8844895362854,0.0,7.872481346130371,0.0,0.18883347511291504,0.0,100.0
F_traffic_time_query_static,traffic_time_weather_query,12,12,STGCN,False,4.033006906509399,0.057630789852949386,6.314702129364013,0.0852945229310601,0.16019097566604615,0.00299557911560547,100.0
F_traffic_time_query_static,traffic_time_weather_query,36,12,ARIMA,False,4.085697650909424,0.0,6.4136528968811035,0.0,0.16608335077762604,0.0,100.0
F_traffic_time_query_static,traffic_time_weather_query,36,12,DCRNN,False,3.8959410190582275,0.007223399756721423,6.037584209442139,0.043142585644420486,0.16339811384677888,0.0014129649012169863,100.0
F_traffic_time_query_static,traffic_time_weather_query,36,12,HA,False,4.420600891113281,0.0,6.825934410095215,0.0,0.18181109428405762,0.0,100.0
F_traffic_time_query_static,traffic_time_weather_query,36,12,LastValue,False,4.908753871917725,0.0,7.917966842651367,0.0,0.1903935670852661,0.0,100.0
F_traffic_time_query_static,traffic_time_weather_query,36,12,STGCN,False,3.8017880439758303,0.0422605091099592,5.910277843475342,0.08394406142024884,0.15149882733821868,0.002373681638765238,100.0
