snapshot_idx,snapshot_end_time,lag,edge_count,edge_density,edge_jaccard,physical_recall,dynamic_precision,mean_edge_weight,max_edge_weight
26,2495,1,213,0.0008537074148296593,0.15902140672782875,0.1908256880733945,0.48826291079812206,0.21899567544460297,0.9169270396232605
26,2495,2,301,0.0012064128256513026,0.21377331420373027,0.27339449541284405,0.4950166112956811,0.18139983713626862,1.0
26,2495,3,77,0.0003086172344689379,0.07612456747404844,0.08073394495412844,0.5714285714285714,0.0663658156991005,0.4065892696380615
27,2591,1,210,0.0008416833667334669,0.16153846153846155,0.1926605504587156,0.5,0.22966526448726654,1.0
27,2591,2,294,0.0011783567134268538,0.20545977011494254,0.26238532110091745,0.48639455782312924,0.18378514051437378,0.9503352046012878
27,2591,3,83,0.00033266533066132265,0.07534246575342465,0.08073394495412844,0.5301204819277109,0.07204039394855499,0.3341769576072693
28,2687,1,197,0.0007895791583166332,0.14860681114551083,0.1761467889908257,0.4873096446700508,0.18961191177368164,1.0
28,2687,2,299,0.0011983967935871743,0.21264367816091953,0.27155963302752295,0.49498327759197325,0.1498870849609375,0.7260162234306335
28,2687,3,88,0.0003527054108216433,0.07836456558773425,0.08440366972477065,0.5227272727272727,0.05495677888393402,0.2217143028974533
29,2783,1,212,0.0008496993987975952,0.14696969696969697,0.1779816513761468,0.45754716981132076,0.18707889318466187,1.0
29,2783,2,290,0.0011623246492985973,0.2049062049062049,0.26055045871559634,0.4896551724137931,0.15249992907047272,0.7387689352035522
29,2783,3,86,0.000344689378757515,0.08981001727115717,0.09541284403669725,0.6046511627906976,0.05120202526450157,0.194243922829628
30,2879,1,211,0.000845691382765531,0.15773353751914243,0.1889908256880734,0.4881516587677725,0.1979825347661972,1.0
30,2879,2,283,0.0011342685370741483,0.2052401746724891,0.25871559633027524,0.49823321554770317,0.14337848126888275,0.7796014547348022
30,2879,3,97,0.00038877755511022047,0.08080808080808081,0.08807339449541285,0.4948453608247423,0.04910241439938545,0.1816032975912094
31,2975,1,218,0.0008737474949899799,0.1595744680851064,0.1926605504587156,0.481651376146789,0.18928015232086182,1.0
31,2975,2,284,0.0011382765531062124,0.19971056439942114,0.25321100917431194,0.4859154929577465,0.14703728258609772,0.8128847479820251
31,2975,3,92,0.0003687374749498998,0.08333333333333333,0.08990825688073395,0.532608695652174,0.0424359068274498,0.18174493312835693
32,3071,1,218,0.0008737474949899799,0.16666666666666666,0.2,0.5,0.14861474931240082,1.0
32,3071,2,295,0.0011823647294589177,0.20863309352517986,0.26605504587155965,0.4915254237288136,0.11790399998426437,0.6532783508300781
32,3071,3,84,0.0003366733466933868,0.07155025553662692,0.07706422018348624,0.5,0.04076145216822624,0.47685596346855164
33,3167,1,217,0.0008697394789579159,0.1633587786259542,0.1963302752293578,0.4930875576036866,0.15119192004203796,1.0
33,3167,2,293,0.0011743486973947897,0.21273516642547033,0.26972477064220185,0.5017064846416383,0.11531625688076019,0.6584914326667786
33,3167,3,68,0.0002725450901803607,0.056896551724137934,0.060550458715596334,0.4852941176470588,0.04161541536450386,0.4214184880256653
34,3263,1,222,0.0008897795591182365,0.172782874617737,0.20733944954128442,0.509009009009009,0.18262258172035217,1.0
34,3263,2,279,0.0011182364729458918,0.19593613933236576,0.24770642201834864,0.4838709677419355,0.1316032111644745,0.7977479100227356
34,3263,3,87,0.00034869739478957915,0.07849829351535836,0.08440366972477065,0.5287356321839081,0.04456433281302452,0.35177716612815857
35,3359,1,231,0.0009258517034068136,0.17933130699088146,0.21651376146788992,0.5108225108225108,0.1960972398519516,1.0
35,3359,2,266,0.0010661322645290582,0.18740849194729137,0.23486238532110093,0.48120300751879697,0.14636951684951782,0.791073739528656
35,3359,3,85,0.0003406813627254509,0.07692307692307693,0.08256880733944955,0.5294117647058824,0.05306253582239151,0.3655952513217926
36,3455,1,232,0.0009298597194388777,0.18085106382978725,0.21834862385321102,0.5129310344827587,0.20676568150520325,1.0
36,3455,2,267,0.0010701402805611223,0.1906158357771261,0.23853211009174313,0.4868913857677903,0.15145611763000488,0.8315499424934387
36,3455,3,86,0.000344689378757515,0.07495741056218058,0.08073394495412844,0.5116279069767442,0.04806166887283325,0.345922589302063
37,3551,1,225,0.0009018036072144289,0.1702127659574468,0.20550458715596331,0.49777777777777776,0.2173202484846115,1.0
37,3551,2,277,0.0011102204408817635,0.20175438596491227,0.25321100917431194,0.4981949458483754,0.15866929292678833,0.8912112712860107
37,3551,3,73,0.0002925851703406814,0.06920415224913495,0.07339449541284404,0.547945205479452,0.05369044840335846,0.3344030976295471
38,3647,1,222,0.0008897795591182365,0.172782874617737,0.20733944954128442,0.509009009009009,0.22253800928592682,1.0
38,3647,2,276,0.0011062124248496993,0.19854014598540146,0.24954128440366974,0.4927536231884058,0.1694692224264145,0.96843022108078
38,3647,3,88,0.0003527054108216433,0.07470288624787776,0.08073394495412844,0.5,0.06033236160874367,0.3844848573207855
39,3743,1,232,0.0009298597194388777,0.17727272727272728,0.21467889908256882,0.5043103448275862,0.22998224198818207,1.0
39,3743,2,273,0.001094188376753507,0.19765739385065886,0.24770642201834864,0.4945054945054945,0.1519353687763214,0.9349432587623596
39,3743,3,86,0.000344689378757515,0.07130730050933787,0.07706422018348624,0.4883720930232558,0.05510709434747696,0.3002449870109558
40,3839,1,225,0.0009018036072144289,0.17557251908396945,0.21100917431192662,0.5111111111111111,0.24338361620903015,1.0
40,3839,2,272,0.0010901803607214428,0.18922852983988356,0.23853211009174313,0.47794117647058826,0.1588800996541977,0.9902041554450989
40,3839,3,88,0.0003527054108216433,0.0839041095890411,0.08990825688073395,0.5568181818181818,0.04748128354549408,0.14442580938339233
41,3935,1,246,0.0009859719438877756,0.18413173652694612,0.22568807339449543,0.5,0.25465598702430725,1.0
41,3935,2,278,0.0011142284569138276,0.19796215429403202,0.24954128440366974,0.4892086330935252,0.16214735805988312,0.9576888680458069
41,3935,3,63,0.00025250501002004006,0.05555555555555555,0.05871559633027523,0.5079365079365079,0.06318531185388565,0.35654401779174805
42,4031,1,242,0.000969939879759519,0.18882175226586104,0.22935779816513763,0.5165289256198347,0.26563021540641785,1.0
42,4031,2,265,0.001062124248496994,0.18594436310395315,0.23302752293577983,0.47924528301886793,0.16942381858825684,0.8888096809387207
42,4031,3,72,0.00028857715430861725,0.06563039723661486,0.06972477064220184,0.5277777777777778,0.06368422508239746,0.43462496995925903
43,4127,1,236,0.0009458917835671343,0.1815431164901664,0.22018348623853212,0.5084745762711864,0.2639712989330292,1.0
43,4127,2,264,0.00105811623246493,0.18621700879765396,0.23302752293577983,0.4810606060606061,0.16180074214935303,0.8919591307640076
43,4127,3,76,0.00030460921843687374,0.0706896551724138,0.07522935779816514,0.5394736842105263,0.06895521283149719,0.3568456470966339
44,4223,1,229,0.0009178356713426854,0.1889400921658986,0.22568807339449543,0.537117903930131,0.20611076056957245,1.0
44,4223,2,269,0.0010781563126252506,0.1729106628242075,0.22018348623853212,0.44609665427509293,0.14467574656009674,0.7854638695716858
44,4223,3,78,0.000312625250501002,0.07413793103448275,0.07889908256880734,0.5512820512820513,0.05677266791462898,0.49103814363479614
45,4319,1,218,0.0008737474949899799,0.18478260869565216,0.21834862385321102,0.5458715596330275,0.1881977915763855,0.8553615212440491
45,4319,2,279,0.0011182364729458918,0.1754636233951498,0.22568807339449543,0.44086021505376344,0.14985989034175873,1.0
